Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0805_2012Metric",158.920000,-50.937500,90.000000,top
"C2","4.7uF","C_0805_2012Metric",152.670000,-77.500000,0.000000,top
"C3","0.1uF","C_0805_2012Metric",161.920000,-51.000000,90.000000,top
"C4","4.7uF","C_0805_2012Metric",152.670000,-79.500000,0.000000,top
"C5","10uF","C_0805_2012Metric",159.170000,-46.250000,270.000000,top
"C6","10uF","C_0805_2012Metric",158.670000,-72.000000,0.000000,top
"D1","LED","LED_0805_2012Metric",161.170000,-59.500000,90.000000,top
"D2","LED","LED_0805_2012Metric",167.670000,-62.500000,180.000000,top
"D3","LED","LED_0805_2012Metric",167.670000,-69.250000,180.000000,top
"D4","LED","LED_0805_2012Metric",168.920000,-76.500000,180.000000,top
"D5","LED","LED_0805_2012Metric",168.420000,-58.000000,180.000000,top
"D6","LED","LED_0805_2012Metric",158.670000,-63.250000,90.000000,top
"D7","LED","LED_0805_2012Metric",152.920000,-63.250000,90.000000,top
"G***","LOGO","VoronLogo_6pt5mm_silkScreen",149.420000,-50.750000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Molex-105017-0001",142.170000,-53.750000,270.000000,top
"Q1","IRLML6344TRPBF","SOT-23",171.670000,-63.500000,0.000000,top
"Q2","IRLML6344TRPBF","SOT-23",171.670000,-67.500000,0.000000,top
"Q3","IRLML6344TRPBF","SOT-23",171.670000,-72.500000,0.000000,top
"Q4","IRLML6344TRPBF","SOT-23",168.670000,-54.500000,0.000000,top
"R2","10K","R_0805_2012Metric",152.170000,-70.500000,180.000000,top
"R3","1K","R_0805_2012Metric",161.170000,-55.750000,90.000000,top
"R7","100","R_0805_2012Metric",163.670000,-62.500000,0.000000,top
"R8","100","R_0805_2012Metric",163.670000,-69.250000,0.000000,top
"R9","100","R_0805_2012Metric",164.920000,-76.500000,0.000000,top
"R10","100","R_0805_2012Metric",164.670000,-53.500000,0.000000,top
"R11","10K","R_0805_2012Metric",163.670000,-64.750000,0.000000,top
"R12","10K","R_0805_2012Metric",163.670000,-71.500000,0.000000,top
"R13","10K","R_0805_2012Metric",164.920000,-78.750000,0.000000,top
"R14","10K","R_0805_2012Metric",164.670000,-55.750000,0.000000,top
"R15","4.7K","R_0805_2012Metric",167.670000,-64.750000,0.000000,top
"R16","4.7K","R_0805_2012Metric",159.170000,-42.750000,270.000000,top
"R17","4.7K","R_0805_2012Metric",158.670000,-70.000000,180.000000,top
"R18","4.7K","R_0805_2012Metric",167.670000,-71.500000,0.000000,top
"R19","4.7K","R_0805_2012Metric",168.920000,-78.750000,0.000000,top
"R20","4.7K","R_0805_2012Metric",164.670000,-58.000000,0.000000,top
"R21","1K","R_0805_2012Metric",158.670000,-67.000000,90.000000,top
"R22","4.7K","R_0805_2012Metric",152.920000,-67.000000,90.000000,top
"U1","STM32F042F6Px","TSSOP-20_4.4x6.5mm_P0.65mm",155.170000,-57.500000,0.000000,top
"U2","AP2127K-3.3","SOT-23-5",152.420000,-73.500000,0.000000,top
